"Step","State: finished - Train/Accuracies","State: finished - Train/Accuracies__MIN","State: finished - Train/Accuracies__MAX"
"2352","0.540283203125","0.540283203125","0.540283203125"
"2378","0.5224609375","0.5224609375","0.5224609375"
"2419","0.51318359375","0.51318359375","0.51318359375"
"2422","0.533935546875","0.533935546875","0.533935546875"
"2428","0.53955078125","0.53955078125","0.53955078125"
"2533","0.544677734375","0.544677734375","0.544677734375"
"2542","0.5478515625","0.5478515625","0.5478515625"
"2549","0.528076171875","0.528076171875","0.528076171875"
"2563","0.532958984375","0.532958984375","0.532958984375"
"2590","0.539306640625","0.539306640625","0.539306640625"
"2624","0.536865234375","0.536865234375","0.536865234375"
"2662","0.5390625","0.5390625","0.5390625"
"2672","0.53857421875","0.53857421875","0.53857421875"
"2707","0.549072265625","0.549072265625","0.549072265625"
"2732","0.53271484375","0.53271484375","0.53271484375"
"2752","0.543701171875","0.543701171875","0.543701171875"
"2815","0.536865234375","0.536865234375","0.536865234375"
"2821","0.545166015625","0.545166015625","0.545166015625"
"2874","0.53271484375","0.53271484375","0.53271484375"
"2911","0.5361328125","0.5361328125","0.5361328125"
"2958","0.532470703125","0.532470703125","0.532470703125"
"2975","0.551025390625","0.551025390625","0.551025390625"
"3068","0.549560546875","0.549560546875","0.549560546875"
"3073","0.5458984375","0.5458984375","0.5458984375"
"3091","0.544677734375","0.544677734375","0.544677734375"
"3096","0.524658203125","0.524658203125","0.524658203125"
"3117","0.544677734375","0.544677734375","0.544677734375"
"3124","0.5341796875","0.5341796875","0.5341796875"
"3163","0.540283203125","0.540283203125","0.540283203125"
"3167","0.531494140625","0.531494140625","0.531494140625"
"3273","0.550537109375","0.550537109375","0.550537109375"
"3306","0.535888671875","0.535888671875","0.535888671875"
"3335","0.5517578125","0.5517578125","0.5517578125"
"3341","0.5390625","0.5390625","0.5390625"
"3372","0.5390625","0.5390625","0.5390625"
"3417","0.54150390625","0.54150390625","0.54150390625"
"3444","0.54443359375","0.54443359375","0.54443359375"
"3528","0.5361328125","0.5361328125","0.5361328125"
"3563","0.53173828125","0.53173828125","0.53173828125"
"3595","0.54150390625","0.54150390625","0.54150390625"
"3602","0.5419921875","0.5419921875","0.5419921875"
"3610","0.525390625","0.525390625","0.525390625"
"3656","0.5341796875","0.5341796875","0.5341796875"
