"Step","skilled-sweep-3 - Train/Accuracies final ","skilled-sweep-3 - Train/Accuracies final __MIN","skilled-sweep-3 - Train/Accuracies final __MAX","playful-sweep-2 - Train/Accuracies final ","playful-sweep-2 - Train/Accuracies final __MIN","playful-sweep-2 - Train/Accuracies final __MAX","prime-sweep-1 - Train/Accuracies final ","prime-sweep-1 - Train/Accuracies final __MIN","prime-sweep-1 - Train/Accuracies final __MAX"
"1933","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625","0.46875","0.46875","0.46875"
"1944","0.5625","0.5625","0.5625","0.453125","0.453125","0.453125","0.484375","0.484375","0.484375"
"1956","0.515625","0.515625","0.515625","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375"
"1985","0.515625","0.515625","0.515625","0.5625","0.5625","0.5625","0.421875","0.421875","0.421875"
"1991","0.46875","0.46875","0.46875","0.453125","0.453125","0.453125","0.421875","0.421875","0.421875"
"2014","0.390625","0.390625","0.390625","0.328125","0.328125","0.328125","0.375","0.375","0.375"
"2028","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375","0.515625","0.515625","0.515625"
"2034","0.578125","0.578125","0.578125","0.46875","0.46875","0.46875","0.5","0.5","0.5"
"2049","0.515625","0.515625","0.515625","0.515625","0.515625","0.515625","0.5625","0.5625","0.5625"
"2068","0.546875","0.546875","0.546875","0.5","0.5","0.5","0.484375","0.484375","0.484375"
"2098","0.5","0.5","0.5","0.390625","0.390625","0.390625","0.4375","0.4375","0.4375"
"2105","0.578125","0.578125","0.578125","0.453125","0.453125","0.453125","0.5","0.5","0.5"
"2143","0.546875","0.546875","0.546875","0.5","0.5","0.5","0.53125","0.53125","0.53125"
"2152","0.375","0.375","0.375","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375"
"2164","0.515625","0.515625","0.515625","0.53125","0.53125","0.53125","0.453125","0.453125","0.453125"
"2171","0.515625","0.515625","0.515625","0.484375","0.484375","0.484375","0.421875","0.421875","0.421875"
"2184","0.546875","0.546875","0.546875","0.5","0.5","0.5","0.484375","0.484375","0.484375"
"2187","0.421875","0.421875","0.421875","0.390625","0.390625","0.390625","0.40625","0.40625","0.40625"
"2189","0.578125","0.578125","0.578125","0.5","0.5","0.5","0.5625","0.5625","0.5625"
"2201","0.625","0.625","0.625","0.609375","0.609375","0.609375","0.59375","0.59375","0.59375"
"2203","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.546875","0.546875","0.546875"
"2213","0.578125","0.578125","0.578125","0.53125","0.53125","0.53125","0.546875","0.546875","0.546875"
"2247","0.546875","0.546875","0.546875","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625"
"2263","0.421875","0.421875","0.421875","0.515625","0.515625","0.515625","0.5","0.5","0.5"
"2272","0.484375","0.484375","0.484375","0.578125","0.578125","0.578125","0.5625","0.5625","0.5625"
"2283","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375","0.453125","0.453125","0.453125"
"2295","0.390625","0.390625","0.390625","0.421875","0.421875","0.421875","0.375","0.375","0.375"
"2302","0.453125","0.453125","0.453125","0.421875","0.421875","0.421875","0.484375","0.484375","0.484375"
"2328","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625","0.484375","0.484375","0.484375"
"2352","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375"
"2378","0.40625","0.40625","0.40625","0.390625","0.390625","0.390625","0.40625","0.40625","0.40625"
"2419","0.625","0.625","0.625","0.53125","0.53125","0.53125","0.578125","0.578125","0.578125"
"2422","0.484375","0.484375","0.484375","0.5","0.5","0.5","0.375","0.375","0.375"
"2428","0.671875","0.671875","0.671875","0.5625","0.5625","0.5625","0.515625","0.515625","0.515625"
"2429","0.515625","0.515625","0.515625","0.59375","0.59375","0.59375","0.53125","0.53125","0.53125"
"2459","0.640625","0.640625","0.640625","0.53125","0.53125","0.53125","0.625","0.625","0.625"
"2533","0.59375","0.59375","0.59375","0.640625","0.640625","0.640625","0.625","0.625","0.625"
"2542","0.53125","0.53125","0.53125","0.546875","0.546875","0.546875","0.578125","0.578125","0.578125"
"2549","0.46875","0.46875","0.46875","0.375","0.375","0.375","0.453125","0.453125","0.453125"
"2563","0.421875","0.421875","0.421875","0.515625","0.515625","0.515625","0.4375","0.4375","0.4375"
"2573","0.59375","0.59375","0.59375","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"2590","0.546875","0.546875","0.546875","0.609375","0.609375","0.609375","0.546875","0.546875","0.546875"
"2624","0.453125","0.453125","0.453125","0.515625","0.515625","0.515625","0.40625","0.40625","0.40625"
"2662","0.5","0.5","0.5","0.5625","0.5625","0.5625","0.484375","0.484375","0.484375"
"2672","0.578125","0.578125","0.578125","0.515625","0.515625","0.515625","0.625","0.625","0.625"
"2707","0.484375","0.484375","0.484375","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875"
"2732","0.484375","0.484375","0.484375","0.40625","0.40625","0.40625","0.515625","0.515625","0.515625"
"2752","0.46875","0.46875","0.46875","0.546875","0.546875","0.546875","0.546875","0.546875","0.546875"
"2815","0.328125","0.328125","0.328125","0.421875","0.421875","0.421875","0.328125","0.328125","0.328125"
"2821","0.625","0.625","0.625","0.515625","0.515625","0.515625","0.5","0.5","0.5"
"2833","0.578125","0.578125","0.578125","0.5625","0.5625","0.5625","0.515625","0.515625","0.515625"
"2836","0.578125","0.578125","0.578125","0.609375","0.609375","0.609375","0.5625","0.5625","0.5625"
"2863","0.5625","0.5625","0.5625","0.5","0.5","0.5","0.5","0.5","0.5"
"2874","0.453125","0.453125","0.453125","0.515625","0.515625","0.515625","0.53125","0.53125","0.53125"
"2902","0.359375","0.359375","0.359375","0.421875","0.421875","0.421875","0.40625","0.40625","0.40625"
"2911","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.546875","0.546875","0.546875"
"2958","0.515625","0.515625","0.515625","0.453125","0.453125","0.453125","0.5","0.5","0.5"
"2975","0.5625","0.5625","0.5625","0.578125","0.578125","0.578125","0.515625","0.515625","0.515625"
"2977","0.625","0.625","0.625","0.546875","0.546875","0.546875","0.46875","0.46875","0.46875"
"2992","0.4375","0.4375","0.4375","0.484375","0.484375","0.484375","0.375","0.375","0.375"
"3003","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875"
"3029","0.5","0.5","0.5","0.5","0.5","0.5","0.53125","0.53125","0.53125"
"3068","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875","0.484375","0.484375","0.484375"
"3073","0.5625","0.5625","0.5625","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"3091","0.46875","0.46875","0.46875","0.546875","0.546875","0.546875","0.5","0.5","0.5"
"3096","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875"
"3117","0.453125","0.453125","0.453125","0.453125","0.453125","0.453125","0.375","0.375","0.375"
"3121","0.53125","0.53125","0.53125","0.546875","0.546875","0.546875","0.53125","0.53125","0.53125"
"3124","0.5","0.5","0.5","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875"
"3163","0.59375","0.59375","0.59375","0.484375","0.484375","0.484375","0.515625","0.515625","0.515625"
"3167","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875"
"3214","0.484375","0.484375","0.484375","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625"
"3215","0.65625","0.65625","0.65625","0.609375","0.609375","0.609375","0.71875","0.71875","0.71875"
"3273","0.59375","0.59375","0.59375","0.484375","0.484375","0.484375","0.4375","0.4375","0.4375"
"3274","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.53125","0.53125","0.53125"
"3306","0.4375","0.4375","0.4375","0.421875","0.421875","0.421875","0.390625","0.390625","0.390625"
"3316","0.4375","0.4375","0.4375","0.453125","0.453125","0.453125","0.453125","0.453125","0.453125"
"3335","0.484375","0.484375","0.484375","0.578125","0.578125","0.578125","0.546875","0.546875","0.546875"
"3341","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375","0.453125","0.453125","0.453125"
"3356","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625"
"3372","0.515625","0.515625","0.515625","0.515625","0.515625","0.515625","0.5","0.5","0.5"
"3417","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.4375","0.4375","0.4375"
"3444","0.4375","0.4375","0.4375","0.5","0.5","0.5","0.53125","0.53125","0.53125"
"3494","0.4375","0.4375","0.4375","0.4375","0.4375","0.4375","0.546875","0.546875","0.546875"
"3506","0.53125","0.53125","0.53125","0.578125","0.578125","0.578125","0.546875","0.546875","0.546875"
"3528","0.578125","0.578125","0.578125","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625"
"3557","0.5","0.5","0.5","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375"
"3563","0.5","0.5","0.5","0.4375","0.4375","0.4375","0.453125","0.453125","0.453125"
"3595","0.46875","0.46875","0.46875","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625"
"3599","0.59375","0.59375","0.59375","0.484375","0.484375","0.484375","0.515625","0.515625","0.515625"
"3602","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625"
"3608","0.484375","0.484375","0.484375","0.484375","0.484375","0.484375","0.546875","0.546875","0.546875"
"3610","0.5625","0.5625","0.5625","0.53125","0.53125","0.53125","0.484375","0.484375","0.484375"
"3656","0.53125","0.53125","0.53125","0.40625","0.40625","0.40625","0.34375","0.34375","0.34375"
"3673","0.453125","0.453125","0.453125","0.453125","0.453125","0.453125","0.390625","0.390625","0.390625"
"3740","0.40625","0.40625","0.40625","0.359375","0.359375","0.359375","0.4375","0.4375","0.4375"
"3749","0.625","0.625","0.625","0.609375","0.609375","0.609375","0.59375","0.59375","0.59375"
"3758","0.515625","0.515625","0.515625","0.40625","0.40625","0.40625","0.4375","0.4375","0.4375"
"3794","0.375","0.375","0.375","0.453125","0.453125","0.453125","0.484375","0.484375","0.484375"
"3803","0.546875","0.546875","0.546875","0.421875","0.421875","0.421875","0.53125","0.53125","0.53125"
"3818","0.453125","0.453125","0.453125","0.46875","0.46875","0.46875","0.453125","0.453125","0.453125"
"3836","0.453125","0.453125","0.453125","0.421875","0.421875","0.421875","0.40625","0.40625","0.40625"
"3857","0.484375","0.484375","0.484375","0.46875","0.46875","0.46875","0.546875","0.546875","0.546875"
"3871","0.53125","0.53125","0.53125","0.453125","0.453125","0.453125","0.5","0.5","0.5"
"3878","0.3125","0.3125","0.3125","0.390625","0.390625","0.390625","0.3125","0.3125","0.3125"
"3887","0.546875","0.546875","0.546875","0.578125","0.578125","0.578125","0.53125","0.53125","0.53125"
"3892","0.515625","0.515625","0.515625","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625"
"3910","0.421875","0.421875","0.421875","0.421875","0.421875","0.421875","0.421875","0.421875","0.421875"
"3921","0.421875","0.421875","0.421875","0.59375","0.59375","0.59375","0.546875","0.546875","0.546875"
"3974","0.5","0.5","0.5","0.578125","0.578125","0.578125","0.53125","0.53125","0.53125"
"3993","0.5","0.5","0.5","0.515625","0.515625","0.515625","0.46875","0.46875","0.46875"
"4009","0.625","0.625","0.625","0.546875","0.546875","0.546875","0.609375","0.609375","0.609375"
"4012","0.53125","0.53125","0.53125","0.46875","0.46875","0.46875","0.421875","0.421875","0.421875"
"4016","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.453125","0.453125","0.453125"
"4032","0.515625","0.515625","0.515625","0.484375","0.484375","0.484375","0.515625","0.515625","0.515625"
"4054","0.515625","0.515625","0.515625","0.453125","0.453125","0.453125","0.5","0.5","0.5"
"4101","0.4375","0.4375","0.4375","0.375","0.375","0.375","0.40625","0.40625","0.40625"
"4114","0.453125","0.453125","0.453125","0.453125","0.453125","0.453125","0.421875","0.421875","0.421875"
"4131","0.609375","0.609375","0.609375","0.609375","0.609375","0.609375","0.578125","0.578125","0.578125"
"4148","0.453125","0.453125","0.453125","0.5","0.5","0.5","0.46875","0.46875","0.46875"
"4162","0.5625","0.5625","0.5625","0.53125","0.53125","0.53125","0.59375","0.59375","0.59375"
"4163","0.59375","0.59375","0.59375","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"4175","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625","0.515625","0.515625","0.515625"
"4184","0.609375","0.609375","0.609375","0.46875","0.46875","0.46875","0.640625","0.640625","0.640625"
"4213","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625","0.46875","0.46875","0.46875"
"4281","0.453125","0.453125","0.453125","0.40625","0.40625","0.40625","0.421875","0.421875","0.421875"
"4321","0.390625","0.390625","0.390625","0.375","0.375","0.375","0.53125","0.53125","0.53125"
"4337","0.5625","0.5625","0.5625","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625"
"4349","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.5","0.5","0.5"
"4369","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875","0.5","0.5","0.5"
"4402","0.5625","0.5625","0.5625","0.515625","0.515625","0.515625","0.453125","0.453125","0.453125"
"4420","0.5","0.5","0.5","0.46875","0.46875","0.46875","0.546875","0.546875","0.546875"
"4424","0.46875","0.46875","0.46875","0.421875","0.421875","0.421875","0.484375","0.484375","0.484375"
"4425","0.59375","0.59375","0.59375","0.609375","0.609375","0.609375","0.65625","0.65625","0.65625"
"4447","0.53125","0.53125","0.53125","0.546875","0.546875","0.546875","0.625","0.625","0.625"
"4453","0.515625","0.515625","0.515625","0.515625","0.515625","0.515625","0.4375","0.4375","0.4375"
"4481","0.578125","0.578125","0.578125","0.59375","0.59375","0.59375","0.578125","0.578125","0.578125"
"4487","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625","0.53125","0.53125","0.53125"
"4489","0.5625","0.5625","0.5625","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"4505","0.4375","0.4375","0.4375","0.5","0.5","0.5","0.515625","0.515625","0.515625"
"4526","0.421875","0.421875","0.421875","0.515625","0.515625","0.515625","0.578125","0.578125","0.578125"
"4527","0.484375","0.484375","0.484375","0.515625","0.515625","0.515625","0.59375","0.59375","0.59375"
"4579","0.40625","0.40625","0.40625","0.546875","0.546875","0.546875","0.515625","0.515625","0.515625"
"4609","0.46875","0.46875","0.46875","0.390625","0.390625","0.390625","0.390625","0.390625","0.390625"
"4631","0.46875","0.46875","0.46875","0.390625","0.390625","0.390625","0.390625","0.390625","0.390625"
"4648","0.484375","0.484375","0.484375","0.46875","0.46875","0.46875","0.484375","0.484375","0.484375"
"4650","0.5625","0.5625","0.5625","0.59375","0.59375","0.59375","0.546875","0.546875","0.546875"
"4651","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375","0.5","0.5","0.5"
"4659","0.46875","0.46875","0.46875","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625"
"4666","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375","0.46875","0.46875","0.46875"
"4672","0.578125","0.578125","0.578125","0.5","0.5","0.5","0.5","0.5","0.5"
"4735","0.453125","0.453125","0.453125","0.53125","0.53125","0.53125","0.5625","0.5625","0.5625"
"4774","0.46875","0.46875","0.46875","0.53125","0.53125","0.53125","0.4375","0.4375","0.4375"
"4799","0.453125","0.453125","0.453125","0.46875","0.46875","0.46875","0.421875","0.421875","0.421875"
"4890","0.5","0.5","0.5","0.515625","0.515625","0.515625","0.4375","0.4375","0.4375"
"4935","0.453125","0.453125","0.453125","0.53125","0.53125","0.53125","0.53125","0.53125","0.53125"
"4979","0.5","0.5","0.5","0.59375","0.59375","0.59375","0.546875","0.546875","0.546875"
"5004","0.4375","0.4375","0.4375","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375"
"5019","0.46875","0.46875","0.46875","0.515625","0.515625","0.515625","0.453125","0.453125","0.453125"
"5035","0.53125","0.53125","0.53125","0.609375","0.609375","0.609375","0.546875","0.546875","0.546875"
"5038","0.609375","0.609375","0.609375","0.515625","0.515625","0.515625","0.546875","0.546875","0.546875"
"5041","0.5625","0.5625","0.5625","0.46875","0.46875","0.46875","0.46875","0.46875","0.46875"
"5056","0.40625","0.40625","0.40625","0.453125","0.453125","0.453125","0.4375","0.4375","0.4375"
"5065","0.5625","0.5625","0.5625","0.5625","0.5625","0.5625","0.578125","0.578125","0.578125"
"5076","0.46875","0.46875","0.46875","0.5","0.5","0.5","0.484375","0.484375","0.484375"
"5140","0.390625","0.390625","0.390625","0.5","0.5","0.5","0.390625","0.390625","0.390625"
"5164","0.546875","0.546875","0.546875","0.453125","0.453125","0.453125","0.515625","0.515625","0.515625"
"5168","0.40625","0.40625","0.40625","0.53125","0.53125","0.53125","0.515625","0.515625","0.515625"
"5218","0.546875","0.546875","0.546875","0.546875","0.546875","0.546875","0.59375","0.59375","0.59375"
"5240","0.453125","0.453125","0.453125","0.484375","0.484375","0.484375","0.53125","0.53125","0.53125"
