"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"2533","0.2","0.0625","0.5","0.196875","0.109375","0.328125"
"2542","0.08125","0.03125","0.15625","0.359375","0.203125","0.578125"
"2549","0.15625","0.078125","0.359375","0.35625","0.125","0.640625"
"2563","0.1","0.078125","0.125","0.315625","0.25","0.453125"
"2573","0.1125","0.078125","0.140625","0.184375","0.109375","0.28125"
"2590","0.171875","0.078125","0.34375","0.434375","0.1875","0.671875"
"2624","0.365625","0.015625","0.703125","0.19375","0.0625","0.34375"
"2662","0.25625","0.140625","0.546875","0.246875","0.109375","0.390625"
"2672","0.184375","0.125","0.359375","0.334375","0.09375","0.671875"
"2707","0.3","0.078125","0.53125","0.1625","0.0625","0.328125"
"2732","0.109375","0.078125","0.140625","0.23125","0.125","0.546875"
"2752","0.325","0.078125","0.59375","0.28125","0.1875","0.375"
"2815","0.096875","0.046875","0.171875","0.321875","0.125","0.640625"
"2821","0.115625","0.078125","0.140625","0.31875","0.09375","0.71875"
"2833","0.153125","0.109375","0.21875","0.278125","0.046875","0.640625"
"2836","0.140625","0.078125","0.234375","0.21875","0.140625","0.28125"
"2863","0.084375","0.0625","0.109375","0.19375","0.078125","0.421875"
"2874","0.128125","0.0625","0.1875","0.203125","0.078125","0.296875"
"2902","0.23125","0.078125","0.59375","0.29375","0.140625","0.65625"
"2911","0.25","0.125","0.484375","0.196875","0.125","0.3125"
"2958","0.165625","0.09375","0.234375","0.28125","0.125","0.578125"
"2975","0.15625","0.09375","0.3125","0.4125","0.21875","0.6875"
"2977","0.2375","0.09375","0.703125","0.16875","0.09375","0.234375"
"2992","0.115625","0.078125","0.171875","0.434375","0.15625","0.78125"
"3003","0.1375","0.09375","0.1875","0.215625","0.171875","0.28125"
"3029","0.39375","0.1875","0.640625","0.34375","0.125","0.71875"
"3068","0.2375","0.140625","0.328125","0.175","0.078125","0.265625"
"3073","0.253125","0.125","0.515625","0.246875","0.09375","0.640625"
"3091","0.23125","0.140625","0.421875","0.190625","0.125","0.359375"
"3096","0.1625","0.078125","0.21875","0.18125","0.078125","0.53125"
"3117","0.184375","0.078125","0.4375","0.24375","0.09375","0.640625"
"3121","0.26875","0.078125","0.46875","0.209375","0.0625","0.4375"
"3124","0.15625","0.09375","0.296875","0.384375","0.125","0.734375"
"3163","0.109375","0.078125","0.140625","0.41875","0.171875","0.828125"
"3167","0.240625","0.046875","0.640625","0.159375","0.078125","0.375"
"3214","0.08125","0.0625","0.09375","0.26875","0.109375","0.640625"
"3215","0.1625","0.09375","0.390625","0.28125","0.109375","0.515625"
"3273","0.10625","0.046875","0.1875","0.309375","0.25","0.40625"
"3274","0.325","0.140625","0.6875","0.30625","0.171875","0.40625"
"3306","0.225","0.09375","0.625","0.153125","0.109375","0.25"
"3316","0.25","0.140625","0.515625","0.240625","0.125","0.453125"
"3335","0.29375","0.125","0.640625","0.3","0.125","0.546875"
"3341","0.4625","0.078125","0.8125","0.284375","0.109375","0.609375"
"3356","0.16875","0.078125","0.234375","0.278125","0.09375","0.578125"
"3372","0.165625","0.125","0.296875","0.1875","0.109375","0.34375"
"3417","0.26875","0.046875","0.53125","0.178125","0.078125","0.375"
"3444","0.11875","0.078125","0.1875","0.346875","0.15625","0.59375"
"3494","0.128125","0.09375","0.171875","0.175","0.09375","0.3125"
"3506","0.159375","0.109375","0.203125","0.33125","0.109375","0.671875"
"3528","0.384375","0.125","0.6875","0.225","0.109375","0.3125"
"3557","0.203125","0.0625","0.3125","0.2","0.125","0.34375"
"3563","0.1375","0.0625","0.203125","0.340625","0.0625","0.6875"
"3595","0.121875","0.078125","0.140625","0.359375","0.109375","0.796875"
"3599","0.2125","0.078125","0.578125","0.21875","0.09375","0.375"
"3602","0.175","0.03125","0.296875","0.209375","0.125","0.328125"
"3608","0.2","0.0625","0.5625","0.31875","0.125","0.71875"
"3610","0.2125","0.0625","0.34375","0.290625","0.125","0.6875"
"3656","0.215625","0.171875","0.25","0.328125","0.140625","0.671875"
"3673","0.2125","0.125","0.25","0.25","0.109375","0.375"
"3740","0.171875","0.109375","0.296875","0.340625","0.109375","0.765625"
"3749","0.453125","0.28125","0.59375","0.340625","0.171875","0.703125"
"3758","0.1875","0.09375","0.28125","0.30625","0.125","0.515625"
"3794","0.225","0.0625","0.546875","0.325","0.125","0.5625"
"3803","0.359375","0.125","0.59375","0.215625","0.15625","0.25"
"3818","0.20625","0.0625","0.296875","0.421875","0.1875","0.65625"
"3836","0.159375","0.078125","0.3125","0.28125","0.125","0.671875"
"3857","0.296875","0.15625","0.71875","0.28125","0.078125","0.515625"
"3871","0.33125","0.125","0.5625","0.3625","0.234375","0.609375"
"3878","0.228125","0.03125","0.3125","0.290625","0.09375","0.515625"
"3887","0.140625","0.015625","0.296875","0.315625","0.140625","0.734375"
"3892","0.15625","0.125","0.203125","0.375","0.09375","0.78125"
"3910","0.1","0.0625","0.15625","0.259375","0.109375","0.359375"
"3921","0.16875","0.15625","0.1875","0.2875","0.140625","0.453125"
"3974","0.240625","0.03125","0.40625","0.2","0.09375","0.390625"
"3993","0.359375","0.203125","0.59375","0.3125","0.078125","0.71875"
"4009","0.20625","0.125","0.4375","0.34375","0.140625","0.578125"
"4012","0.125","0.0625","0.1875","0.190625","0.140625","0.265625"
"4016","0.165625","0.109375","0.203125","0.275","0.1875","0.546875"
"4032","0.21875","0.0625","0.6875","0.29375","0.171875","0.390625"
"4054","0.146875","0.078125","0.234375","0.475","0.078125","0.84375"
"4101","0.3375","0.171875","0.65625","0.19375","0.046875","0.53125"
"4114","0.16875","0.078125","0.484375","0.203125","0.078125","0.390625"
"4131","0.1375","0.09375","0.203125","0.290625","0.140625","0.640625"
"4148","0.275","0.03125","0.78125","0.234375","0.09375","0.625"
"4162","0.215625","0.09375","0.28125","0.384375","0.171875","0.75"
"4163","0.153125","0.09375","0.234375","0.203125","0.109375","0.390625"
"4175","0.3625","0.078125","0.578125","0.378125","0.15625","0.75"
"4184","0.1875","0.125","0.3125","0.3","0.078125","0.65625"
"4213","0.15625","0.078125","0.21875","0.5","0.125","0.796875"
"4281","0.165625","0.0625","0.484375","0.23125","0.09375","0.609375"
"4321","0.16875","0.09375","0.25","0.275","0.171875","0.453125"
"4337","0.146875","0.109375","0.1875","0.484375","0.28125","0.6875"
"4349","0.3","0.09375","0.578125","0.40625","0.203125","0.796875"
"4369","0.36875","0.0625","0.75","0.159375","0.078125","0.265625"
"4402","0.23125","0.078125","0.609375","0.478125","0.1875","0.84375"
"4420","0.134375","0.03125","0.203125","0.221875","0.078125","0.375"
"4424","0.34375","0.109375","0.734375","0.159375","0.09375","0.265625"
"4425","0.284375","0.15625","0.390625","0.209375","0.125","0.421875"
"4447","0.290625","0.140625","0.484375","0.28125","0.171875","0.375"
"4453","0.11875","0.09375","0.1875","0.45","0.234375","0.734375"
"4481","0.246875","0.09375","0.6875","0.440625","0.34375","0.59375"
"4487","0.184375","0.140625","0.21875","0.265625","0.109375","0.515625"
"4489","0.115625","0.078125","0.15625","0.453125","0.171875","0.75"
"4505","0.16875","0.078125","0.265625","0.265625","0.078125","0.671875"
"4526","0.1625","0.125","0.234375","0.278125","0.09375","0.734375"
"4527","0.115625","0.046875","0.234375","0.46875","0.09375","0.8125"
"4579","0.30625","0.125","0.6875","0.275","0.109375","0.484375"
"4609","0.15","0.109375","0.21875","0.265625","0.1875","0.34375"
"4631","0.246875","0.109375","0.515625","0.453125","0.125","0.75"
"4648","0.26875","0.15625","0.625","0.3875","0.109375","0.625"
"4650","0.190625","0.09375","0.484375","0.48125","0.140625","0.8125"
"4651","0.14375","0.109375","0.1875","0.25625","0.109375","0.40625"
