"Step","postactivation_production: mlp - Train/Losses","postactivation_production: mlp - Train/Losses__MIN","postactivation_production: mlp - Train/Losses__MAX","postactivation_production: kan - Train/Losses","postactivation_production: kan - Train/Losses__MIN","postactivation_production: kan - Train/Losses__MAX"
"1501","2.2964515844980875","2.2734978199005127","2.301304340362549","2.3251055777072906","2.3182270526885986","2.330810308456421"
"1507","0.8112539251645406","0.7797222137451172","0.8616737723350525","1.5227138996124268","1.3769718408584595","1.6763794422149658"
"1531","2.291590372721354","2.283776044845581","2.2960972785949707","2.3234168887138367","2.3119802474975586","2.3348915576934814"
"1576","2.234505796432495","2.0118775367736816","2.3074748516082764","2.6721526980400085","2.5682342052459717","2.7430739402770996"
"1598","2.3128082275390627","2.305241584777832","2.328011989593506","2.2904787063598633","2.2812559604644775","2.292646884918213"
"1686","2.2723570505777997","2.1484498977661133","2.2960801124572754","2.365578204393387","2.351799488067627","2.376939296722412"
"1702","2.282636562983195","2.1554880142211914","2.3127899169921875","2.2542060911655426","2.249572992324829","2.2574985027313232"
"1718","2.312813949584961","2.2994885444641113","2.3358097076416016","2.3412445187568665","2.313229560852051","2.3688461780548096"
"1741","2.315399964650472","2.301905870437622","2.3370108604431152","2.3335297405719757","2.3281004428863525","2.336512565612793"
"1760","1.8609893798828125","1.8412036895751953","1.9144294261932373","2.180463343858719","2.168701171875","2.1969716548919678"
"1773","0.6693853537241617","0.6285937428474426","0.7058459520339966","0.9617898911237717","0.8105166554450989","1.2333648204803467"
"1782","2.2762050946553547","2.176856279373169","2.3000283241271973","2.4879786670207977","2.429243564605713","2.546311616897583"
"1792","2.2862708568573","2.2586236000061035","2.298194408416748","2.3741587698459625","2.341402530670166","2.4074089527130127"
"1796","2.2926845868428547","2.2634129524230957","2.3024089336395264","2.28877392411232","2.2761030197143555","2.2991158962249756"
"1814","2.029049364725749","1.980832815170288","2.1325507164001465","2.2117526829242706","2.2062289714813232","2.217776298522949"
"1821","2.304055754343669","2.290475368499756","2.3161587715148926","2.3045654296875","2.2974891662597656","2.3107709884643555"
"1830","2.2746593316396075","2.2487688064575195","2.3020243644714355","2.2798087000846863","2.2772579193115234","2.283780097961426"
"1832","2.3040315945943197","2.2845568656921387","2.3270716667175293","2.355210065841675","2.3393259048461914","2.376016139984131"
"1833","0.9325889468193054","0.8653241991996765","0.95586097240448","1.7259477525949478","1.6689070463180542","1.8057479858398438"
"1846","2.136873451868693","2.0874311923980713","2.2155609130859375","2.2067062854766846","2.2019896507263184","2.212327480316162"
"1897","1.1650633414586384","1.1375067234039307","1.1908541917800903","1.776080697774887","1.745784044265747","1.832535982131958"
"1933","2.2870978514353433","2.256192684173584","2.3092684745788574","2.351979672908783","2.346468925476074","2.358538866043091"
"1944","1.1048738479614257","1.0602850914001465","1.1287974119186401","1.7558411359786987","1.74006986618042","1.7992515563964844"
"1956","2.241897710164388","2.098957061767578","2.2943716049194336","2.427475392818451","2.3973336219787598","2.4578490257263184"
"1985","2.30041602452596","2.282958984375","2.311347007751465","2.2813632488250732","2.276744842529297","2.2924106121063232"
"1991","0.6860849181811015","0.6682721376419067","0.6973714232444763","1.1587856858968735","1.031137466430664","1.3175315856933594"
"2014","2.0553365389506024","2.040477991104126","2.073701858520508","2.2769421339035034","2.267043113708496","2.2801625728607178"
"2028","2.111107285817464","1.7898520231246948","2.2540395259857178","2.4328427612781525","2.391904830932617","2.493051052093506"
"2034","0.8733182867368062","0.8348982334136963","0.9226381778717041","1.2433044761419296","1.1371219158172607","1.3996353149414062"
"2049","1.5255876382191975","1.4421275854110718","1.5599033832550049","1.8887428641319275","1.8466776609420776","1.9286231994628906"
"2068","2.317814032236735","2.3092916011810303","2.3387436866760254","2.3126551508903503","2.3067126274108887","2.323307752609253"
"2098","2.2525331656138103","2.156644821166992","2.310894012451172","2.3513584434986115","2.337040424346924","2.381927013397217"
"2105","0.9630563219388326","0.8827461004257202","1.0598883628845215","1.8152418583631516","1.770728588104248","1.8839861154556274"
"2143","1.7858558654785157","1.7689709663391113","1.7980945110321045","2.1593992710113525","2.1355133056640625","2.181727409362793"
"2152","1.4978379646937052","1.461122989654541","1.5264780521392822","1.867123618721962","1.8372032642364502","1.8984988927841187"
"2164","2.311295477549235","2.2863593101501465","2.332871437072754","2.3206453919410706","2.308215618133545","2.330277919769287"
"2171","2.1910889625549315","2.069401979446411","2.2716965675354004","2.3311388194561005","2.3148350715637207","2.3426713943481445"
"2184","2.2820590019226072","2.24979305267334","2.3405027389526367","2.330782026052475","2.3267836570739746","2.3346383571624756"
"2187","2.16320637067159","2.126126289367676","2.2140703201293945","2.2532310485839844","2.247518539428711","2.2678136825561523"
"2189","0.6846712231636047","0.6022918224334717","0.7234522104263306","1.0213972181081772","0.8845781087875366","1.263808250427246"
"2201","1.9588207324345908","1.9310964345932007","1.9798741340637207","2.207775741815567","2.192016124725342","2.228055477142334"
"2203","2.070053482055664","1.7731716632843018","2.2654266357421875","2.667410224676132","2.5765647888183594","2.757477045059204"
"2213","2.266090234120687","2.2062435150146484","2.3043770790100098","2.3040128350257874","2.29410982131958","2.320570945739746"
"2247","0.5865061442057292","0.5092968940734863","0.655038595199585","0.8546078950166702","0.7607017755508423","0.9996908903121948"
"2263","2.2927504539489747","2.2750144004821777","2.3030378818511963","2.293876975774765","2.289926767349243","2.2969930171966553"
"2272","1.6241766532262167","1.5665793418884277","1.6557033061981201","2.0389598309993744","2.0268075466156006","2.0489344596862793"
"2283","0.8833013653755188","0.8205397129058838","1.0558854341506958","1.503867745399475","1.4836535453796387","1.5174915790557861"
"2295","2.2329982121785483","2.1955416202545166","2.2806713581085205","2.337838500738144","2.329631805419922","2.3451173305511475"
"2302","0.7707515756289164","0.7218074202537537","0.7947206497192383","1.0181758552789688","0.9355319738388062","1.1419939994812012"
"2328","1.8393829981486003","1.826047420501709","1.8547654151916504","2.1964466869831085","2.1867733001708984","2.2041850090026855"
"2352","0.9944199164708455","0.9536265134811401","1.0385112762451172","1.6300516873598099","1.605832576751709","1.6544232368469238"
"2378","2.28810879389445","2.2729015350341797","2.3095526695251465","2.304647296667099","2.2984349727630615","2.31162691116333"
"2419","1.7805578231811523","1.4858527183532715","2.0488216876983643","2.348525822162628","2.306410551071167","2.385054588317871"
"2422","0.6989147901535034","0.6306605339050293","0.7412045001983643","1.0278751999139786","0.9317030906677246","1.1866888999938965"
"2428","2.2009308179219564","2.124040126800537","2.261178493499756","2.2989182472229004","2.288485527038574","2.31636118888855"
"2429","2.0943798859914144","2.0241198539733887","2.155294418334961","2.301869422197342","2.2527318000793457","2.3610377311706543"
"2459","0.7597166856129964","0.6653507947921753","0.7961440682411194","1.0045533552765846","0.9128472208976746","1.1294865608215332"
"2533","1.0454055428504945","0.9868425726890564","1.1155929565429688","1.578408107161522","1.5502374172210693","1.596191167831421"
"2542","2.2925779819488525","2.2801713943481445","2.3132524490356445","2.306242197751999","2.2929863929748535","2.316082000732422"
"2549","1.5024574279785157","1.4408438205718994","1.562962532043457","1.9639708250761032","1.9290366172790527","2.0008559226989746"
"2563","2.2416429042816164","2.2175395488739014","2.273385524749756","2.315613240003586","2.3108959197998047","2.32438325881958"
"2573","2.235606002807617","2.1713743209838867","2.285918951034546","2.348005950450897","2.3231287002563477","2.373962163925171"
"2590","2.1154252847035724","2.048159599304199","2.2137465476989746","2.2295472621917725","2.225597381591797","2.235867977142334"
"2624","2.2038291613260905","2.132331609725952","2.3817367553710938","2.3190727829933167","2.2935738563537598","2.3426899909973145"
"2662","2.197162882486979","2.1668200492858887","2.250965118408203","2.270985424518585","2.2611167430877686","2.278104782104492"
"2672","1.5246041854222616","1.5008821487426758","1.5470170974731445","1.886793777346611","1.8169548511505127","1.952592134475708"
"2707","2.2518157800038656","2.2279062271118164","2.273299217224121","2.2895410656929016","2.282766819000244","2.2993974685668945"
"2732","2.3091043631235757","2.286311388015747","2.328691005706787","2.3134430646896362","2.3101768493652344","2.3178415298461914"
