"Step","postactivation_production: mlp - Train/Accuracy","postactivation_production: mlp - Train/Accuracy__MIN","postactivation_production: mlp - Train/Accuracy__MAX","postactivation_production: kan - Train/Accuracy","postactivation_production: kan - Train/Accuracy__MIN","postactivation_production: kan - Train/Accuracy__MAX"
"2068","0.06979166666666667","0.03125","0.109375","0.123046875","0.09375","0.140625"
"2098","0.15520833333333334","0.078125","0.21875","0.1015625","0.09375","0.109375"
"2105","0.6010416666666667","0.5","0.65625","0.59375","0.546875","0.625"
"2143","0.28020833333333334","0.234375","0.328125","0.25","0.25","0.25"
"2152","0.3770833333333333","0.34375","0.40625","0.359375","0.328125","0.375"
"2164","0.084375","0.046875","0.125","0.078125","0.046875","0.09375"
"2171","0.20833333333333334","0.109375","0.265625","0.119140625","0.109375","0.140625"
"2184","0.13541666666666666","0.09375","0.1875","0.0703125","0.046875","0.078125"
"2187","0.2","0.140625","0.25","0.251953125","0.21875","0.265625"
"2189","0.671875","0.609375","0.75","0.671875","0.65625","0.6875"
"2201","0.15729166666666666","0.140625","0.171875","0.232421875","0.21875","0.234375"
"2203","0.20104166666666667","0.171875","0.265625","0.09375","0.09375","0.09375"
"2213","0.178125","0.140625","0.234375","0.10546875","0.09375","0.125"
"2247","0.7802083333333333","0.703125","0.828125","0.794921875","0.78125","0.796875"
"2263","0.11666666666666667","0.09375","0.15625","0.115234375","0.09375","0.1875"
"2272","0.35833333333333334","0.28125","0.453125","0.3046875","0.28125","0.34375"
"2283","0.5989583333333334","0.546875","0.671875","0.572265625","0.515625","0.609375"
"2295","0.18125","0.125","0.25","0.064453125","0.046875","0.078125"
"2302","0.6520833333333333","0.59375","0.765625","0.548828125","0.546875","0.5625"
"2328","0.32395833333333335","0.28125","0.359375","0.294921875","0.28125","0.296875"
"2352","0.525","0.484375","0.578125","0.515625","0.5","0.53125"
"2378","0.140625","0.078125","0.203125","0.115234375","0.09375","0.140625"
"2419","0.29791666666666666","0.203125","0.390625","0.064453125","0.046875","0.078125"
"2422","0.6729166666666667","0.59375","0.734375","0.669921875","0.625","0.71875"
"2428","0.1","0.078125","0.125","0.11328125","0.09375","0.140625"
"2429","0.19583333333333333","0.15625","0.265625","0.119140625","0.109375","0.140625"
"2459","0.684375","0.59375","0.78125","0.646484375","0.59375","0.6875"
"2533","0.50625","0.46875","0.578125","0.51953125","0.515625","0.53125"
"2542","0.096875","0.046875","0.15625","0.09375","0.078125","0.140625"
"2549","0.3645833333333333","0.34375","0.390625","0.337890625","0.3125","0.34375"
"2563","0.134375","0.09375","0.203125","0.10546875","0.09375","0.125"
"2573","0.14479166666666668","0.125","0.171875","0.125","0.125","0.125"
"2590","0.234375","0.15625","0.296875","0.31640625","0.28125","0.34375"
"2624","0.17916666666666667","0.125","0.25","0.10546875","0.09375","0.109375"
"2662","0.12916666666666668","0.0625","0.171875","0.16796875","0.15625","0.171875"
"2672","0.465625","0.390625","0.515625","0.404296875","0.390625","0.4375"
"2707","0.11354166666666667","0.078125","0.15625","0.083984375","0.078125","0.109375"
"2732","0.08854166666666667","0.046875","0.1875","0.072265625","0.0625","0.09375"
"2752","0.5552083333333333","0.53125","0.59375","0.546875","0.53125","0.578125"
"2815","0.140625","0.078125","0.203125","0.068359375","0.0625","0.09375"
"2821","0.13541666666666666","0.078125","0.203125","0.12890625","0.109375","0.140625"
"2833","0.090625","0.046875","0.125","0.107421875","0.078125","0.15625"
"2836","0.08645833333333333","0.03125","0.15625","0.11328125","0.09375","0.125"
"2863","0.10833333333333334","0.078125","0.140625","0.11328125","0.109375","0.140625"
"2874","0.14270833333333333","0.125","0.171875","0.1171875","0.109375","0.15625"
"2902","0.10416666666666667","0.0625","0.140625","0.142578125","0.125","0.171875"
"2911","0.29791666666666666","0.234375","0.34375","0.236328125","0.21875","0.25"
"2958","0.2875","0.25","0.3125","0.263671875","0.234375","0.296875"
"2975","0.16145833333333334","0.078125","0.203125","0.06640625","0.0625","0.078125"
"2977","0.7291666666666666","0.640625","0.78125","0.70703125","0.703125","0.71875"
"2992","0.30625","0.265625","0.40625","0.169921875","0.125","0.25"
"3003","0.19270833333333334","0.15625","0.25","0.18359375","0.140625","0.21875"
"3029","0.23541666666666666","0.203125","0.265625","0.26171875","0.234375","0.28125"
"3068","0.22395833333333334","0.171875","0.265625","0.142578125","0.109375","0.171875"
"3073","0.175","0.125","0.21875","0.1328125","0.109375","0.171875"
"3091","0.17083333333333334","0.109375","0.234375","0.2109375","0.171875","0.265625"
"3096","0.16354166666666667","0.125","0.21875","0.154296875","0.125","0.171875"
"3117","0.6145833333333334","0.5625","0.671875","0.453125","0.421875","0.5"
"3121","0.20833333333333334","0.140625","0.265625","0.0859375","0.0625","0.1875"
"3124","0.09895833333333333","0.078125","0.15625","0.0859375","0.0625","0.125"
"3163","0.3729166666666667","0.328125","0.40625","0.08203125","0.078125","0.09375"
"3167","0.14895833333333333","0.09375","0.1875","0.162109375","0.15625","0.171875"
"3214","0.19583333333333333","0.125","0.265625","0.083984375","0.0625","0.09375"
"3215","0.10729166666666666","0.046875","0.140625","0.056640625","0.03125","0.078125"
"3273","0.17291666666666666","0.078125","0.25","0.134765625","0.09375","0.1875"
"3274","0.7489583333333333","0.703125","0.78125","0.732421875","0.671875","0.78125"
"3306","0.39895833333333336","0.359375","0.4375","0.15625","0.09375","0.28125"
"3316","0.26458333333333334","0.21875","0.3125","0.232421875","0.21875","0.25"
"3335","0.22083333333333333","0.15625","0.28125","0.212890625","0.1875","0.234375"
"3341","0.40729166666666666","0.359375","0.46875","0.328125","0.265625","0.359375"
"3356","0.146875","0.09375","0.203125","0.119140625","0.078125","0.171875"
"3372","0.11666666666666667","0.046875","0.21875","0.087890625","0","0.140625"
"3417","0.12708333333333333","0.0625","0.203125","0.103515625","0.078125","0.15625"
"3444","0.16041666666666668","0.125","0.21875","0.146484375","0.125","0.171875"
