"Step","postactivation_production: kan - Train/Accuracies_every_step","postactivation_production: kan - Train/Accuracies_every_step__MIN","postactivation_production: kan - Train/Accuracies_every_step__MAX","postactivation_production: mlp - Train/Accuracies_every_step","postactivation_production: mlp - Train/Accuracies_every_step__MIN","postactivation_production: mlp - Train/Accuracies_every_step__MAX"
"319","","","","0.0625","0.0625","0.0625"
"322","","","","0.25","0.25","0.25"
"324","","","","0.375","0.375","0.375"
"325","","","","0.359375","0.359375","0.359375"
"330","","","","0.1875","0.1875","0.1875"
"331","","","","0.109375","0.109375","0.109375"
"332","","","","0.078125","0.078125","0.078125"
"333","","","","0.546875","0.546875","0.546875"
"335","","","","0.140625","0.140625","0.140625"
"336","0.578125","0.578125","0.578125","0.1796875","0.15625","0.21875"
"337","","","","0.234375","0.234375","0.234375"
"339","","","","0.171875","0.171875","0.171875"
"343","","","","0.265625","0.265625","0.265625"
"346","","","","0.125","0.125","0.125"
"348","","","","0.078125","0.078125","0.078125"
"350","","","","0.0625","0.0625","0.0625"
"352","0.328125","0.328125","0.328125","0.234375","0.109375","0.28125"
"355","","","","0.125","0.125","0.125"
"360","","","","0.390625","0.390625","0.390625"
"361","","","","0.078125","0.078125","0.078125"
"364","","","","0.125","0.125","0.125"
"366","","","","0.609375","0.609375","0.609375"
"367","0.1875","0.1875","0.1875","0.17578125","0.140625","0.28125"
"369","","","","0.59375","0.59375","0.59375"
"371","0.09375","0.09375","0.09375","0.10546875","0.09375","0.109375"
"376","","","","0.046875","0.046875","0.046875"
"377","","","","0.0625","0.0625","0.0625"
"381","0.171875","0.171875","0.171875","0.1484375","0.078125","0.265625"
"388","0.1875","0.1875","0.1875","0.1484375","0.109375","0.234375"
"389","","","","0.140625","0.140625","0.140625"
"391","","","","0.328125","0.328125","0.328125"
"392","","","","0.15625","0.15625","0.15625"
"394","","","","0.15625","0.15625","0.15625"
"396","0.109375","0.109375","0.109375","0.1328125","0.046875","0.3125"
"400","","","","0.484375","0.484375","0.484375"
"403","","","","0.125","0.125","0.125"
"404","0.453125","0.453125","0.453125","0.46484375","0.1875","0.578125"
"405","","","","0.5625","0.5625","0.5625"
"406","","","","0.09375","0.09375","0.09375"
"408","","","","0.609375","0.609375","0.609375"
"409","","","","0.203125","0.203125","0.203125"
"410","","","","0.09375","0.09375","0.09375"
"413","0.03125","0.03125","0.03125","0.0859375","0.046875","0.203125"
"423","","","","0.09375","0.09375","0.09375"
"424","0.15625","0.15625","0.15625","0.08984375","0.0625","0.140625"
"425","","","","0.09375","0.09375","0.09375"
"426","","","","0.484375","0.484375","0.484375"
"427","","","","0.53125","0.53125","0.53125"
"428","","","","0.078125","0.078125","0.078125"
"429","0.140625","0.140625","0.140625","0.10546875","0.0625","0.171875"
"434","0.140625","0.140625","0.140625","0.1171875","0.0625","0.234375"
"440","","","","0.109375","0.078125","0.140625"
"441","","","","0.171875","0.171875","0.171875"
"444","","","","0.25","0.25","0.25"
"445","","","","0.046875","0.046875","0.046875"
"446","","","","0.203125","0.1875","0.21875"
"450","","","","0.34375","0.34375","0.34375"
"452","","","","0.703125","0.703125","0.703125"
"453","","","","0.21875","0.21875","0.21875"
"454","0.078125","0.078125","0.078125","0.1953125","0.140625","0.328125"
"455","","","","0.21875","0.21875","0.21875"
"456","","","","0.140625","0.140625","0.140625"
"457","","","","0.109375","0.109375","0.109375"
"459","","","","0.15625","0.15625","0.15625"
"460","","","","0.234375","0.21875","0.25"
"461","","","","0.671875","0.671875","0.671875"
"462","","","","0.140625","0.140625","0.140625"
"464","0.109375","0.109375","0.109375","0.29296875","0.15625","0.359375"
"467","","","","0.21875","0.21875","0.21875"
"469","","","","0.09375","0.09375","0.09375"
"471","0.09375","0.09375","0.09375","0.11328125","0.09375","0.140625"
"474","","","","0.3359375","0.296875","0.375"
"476","0.4375","0.4375","0.4375","0.48828125","0.296875","0.5625"
"479","","","","0.1875","0.1875","0.1875"
"481","","","","0.140625","0.140625","0.140625"
"482","","","","0.65625","0.65625","0.65625"
"487","","","","0.140625","0.140625","0.140625"
"488","","","","0.0625","0.0625","0.0625"
"489","","","","0.1171875","0.046875","0.171875"
"490","","","","0.078125","0.078125","0.078125"
"491","","","","0.125","0.125","0.125"
"492","","","","0.140625","0.140625","0.140625"
"493","","","","0.1875","0.1875","0.1875"
"494","","","","0.234375","0.234375","0.234375"
"495","","","","0.0625","0.0625","0.0625"
"496","","","","0.5078125","0.5","0.515625"
"497","","","","0.125","0.125","0.125"
"498","","","","0.09375","0.09375","0.09375"
"500","","","","0.328125","0.328125","0.328125"
"501","","","","0.078125","0.078125","0.078125"
"502","","","","0.109375","0.109375","0.109375"
"505","","","","0.0859375","0.078125","0.09375"
"510","","","","0.1953125","0.15625","0.234375"
"511","","","","0.0625","0.0625","0.0625"
"512","","","","0.0625","0.0625","0.0625"
"513","","","","0.0625","0.0625","0.0625"
