"Step","postactivation_production: kan - Train/Losses_every_step","postactivation_production: kan - Train/Losses_every_step__MIN","postactivation_production: kan - Train/Losses_every_step__MAX","postactivation_production: mlp - Train/Losses_every_step","postactivation_production: mlp - Train/Losses_every_step__MIN","postactivation_production: mlp - Train/Losses_every_step__MAX"
"101","2.3027710914611816","2.3027710914611816","2.3027710914611816","2.3043212890625","2.3043212890625","2.3043212890625"
"102","2.3006186485290527","2.2965950965881348","2.3046422004699707","2.3013356924057007","2.2927348613739014","2.3046958446502686"
"103","2.307535171508789","2.307535171508789","2.307535171508789","2.2916383743286133","2.2916383743286133","2.2916383743286133"
"104","2.301931858062744","2.301931858062744","2.301931858062744","","",""
"105","2.300415277481079","2.300415277481079","2.300415277481079","2.3040285110473633","2.3040285110473633","2.3040285110473633"
"106","2.305044651031494","2.305044651031494","2.305044651031494","","",""
"107","2.300968647003174","2.300968647003174","2.300968647003174","2.30424165725708","2.30424165725708","2.30424165725708"
"108","2.3066680431365967","2.3066680431365967","2.3066680431365967","2.2952940464019775","2.2952940464019775","2.2952940464019775"
"109","2.3019778728485107","2.3019778728485107","2.3019778728485107","2.3055357933044434","2.3055357933044434","2.3055357933044434"
"110","2.3011271953582764","2.3011271953582764","2.3011271953582764","","",""
"111","2.305095672607422","2.305095672607422","2.305095672607422","","",""
"112","2.3043107986450195","2.3043107986450195","2.3043107986450195","","",""
"113","2.306579351425171","2.306579351425171","2.306579351425171","","",""
"114","2.3042807579040527","2.3042807579040527","2.3042807579040527","","",""
"115","2.3025383949279785","2.3025383949279785","2.3025383949279785","","",""
"116","2.303772449493408","2.303772449493408","2.303772449493408","","",""
"117","2.3041553497314453","2.3041553497314453","2.3041553497314453","2.2850918769836426","2.2850918769836426","2.2850918769836426"
"118","2.304338216781616","2.3034443855285645","2.305232048034668","2.2960691452026367","2.287749767303467","2.3066468238830566"
"119","2.302438259124756","2.302438259124756","2.302438259124756","","",""
"120","2.3032209873199463","2.3032209873199463","2.3032209873199463","","",""
"121","2.3057315349578857","2.3057315349578857","2.3057315349578857","2.302779197692871","2.302779197692871","2.302779197692871"
"122","2.302917003631592","2.302917003631592","2.302917003631592","","",""
"123","2.3012516498565674","2.3012516498565674","2.3012516498565674","2.2988829612731934","2.2988829612731934","2.2988829612731934"
"124","2.307703733444214","2.307703733444214","2.307703733444214","","",""
"125","2.2994933128356934","2.2994933128356934","2.2994933128356934","2.3038296699523926","2.3038296699523926","2.3038296699523926"
"126","2.3022711277008057","2.3022711277008057","2.3022711277008057","","",""
"127","2.303802013397217","2.303802013397217","2.303802013397217","2.2918334007263184","2.2918334007263184","2.2918334007263184"
"128","2.2996253967285156","2.2996253967285156","2.2996253967285156","2.2769174575805664","2.2769174575805664","2.2769174575805664"
"129","2.3028836250305176","2.3028836250305176","2.3028836250305176","","",""
"130","2.302746295928955","2.302746295928955","2.302746295928955","","",""
"131","2.3014402389526367","2.3014402389526367","2.3014402389526367","","",""
"132","2.3052327632904053","2.3052327632904053","2.3052327632904053","","",""
"133","2.3024051189422607","2.3024051189422607","2.3024051189422607","","",""
"134","2.2972636222839355","2.2972636222839355","2.2972636222839355","","",""
"135","2.3028786182403564","2.3028786182403564","2.3028786182403564","2.261303424835205","2.261303424835205","2.261303424835205"
"136","2.3033652305603027","2.3033652305603027","2.3033652305603027","2.3088972568511963","2.3088972568511963","2.3088972568511963"
"137","2.3011603355407715","2.3011603355407715","2.3011603355407715","","",""
"138","2.2994656562805176","2.2994656562805176","2.2994656562805176","2.321554183959961","2.321554183959961","2.321554183959961"
"139","2.2989635467529297","2.2989635467529297","2.2989635467529297","2.303147554397583","2.303147554397583","2.303147554397583"
"140","2.2988545894622803","2.2988545894622803","2.2988545894622803","","",""
"141","2.298116683959961","2.298116683959961","2.298116683959961","","",""
"142","2.300306797027588","2.300306797027588","2.300306797027588","2.316394805908203","2.311384677886963","2.3214049339294434"
"143","2.3035125732421875","2.3035125732421875","2.3035125732421875","2.153393268585205","2.153393268585205","2.153393268585205"
"144","2.302394151687622","2.302394151687622","2.302394151687622","","",""
"145","2.300025463104248","2.300025463104248","2.300025463104248","2.2938575744628906","2.2938575744628906","2.2938575744628906"
"146","2.297708511352539","2.297708511352539","2.297708511352539","2.2575464248657227","2.2575464248657227","2.2575464248657227"
"147","2.297687292098999","2.297687292098999","2.297687292098999","","",""
"148","2.304388999938965","2.3014445304870605","2.307333469390869","2.330479085445404","2.2933766841888428","2.4357357025146484"
"149","2.3030998706817627","2.3030998706817627","2.3030998706817627","2.2839927673339844","2.2839927673339844","2.2839927673339844"
"150","2.2903285026550293","2.2872588634490967","2.293398141860962","2.294909656047821","2.290822982788086","2.2968273162841797"
"151","2.2876739501953125","2.2876739501953125","2.2876739501953125","","",""
"152","2.303469181060791","2.303469181060791","2.303469181060791","2.2984076738357544","2.293668508529663","2.3031468391418457"
"153","2.289106607437134","2.2816007137298584","2.296612501144409","2.3292784690856934","2.32218074798584","2.3387198448181152"
"154","2.302566409111023","2.302058219909668","2.303074598312378","2.2468297481536865","2.1368932723999023","2.2888636589050293"
"155","2.2831008434295654","2.2831008434295654","2.2831008434295654","","",""
"156","2.2903695106506348","2.2903695106506348","2.2903695106506348","2.328479528427124","2.324246644973755","2.332712411880493"
"157","2.2749335765838623","2.2749335765838623","2.2749335765838623","2.295419454574585","2.295419454574585","2.295419454574585"
"158","2.297136068344116","2.297136068344116","2.297136068344116","2.0754456520080566","2.0754456520080566","2.0754456520080566"
